Cd_Disciplina	Nome_Disciplina
CFA 010	SUSTENTABILIDADE AMBIENTAL
CFA 011	TOPOGRAFIA BÁSICA
CFA 012	MÁQUINAS AGRÍCOLAS
CFA 013	IRRIGAÇÃO, DRENAGEM E ARMAZENAMENTO
CFA 014	DESENHO E CONSTRUÇÕES
CFA 015	SOLOS
CFA 016	INDÚSTRIAS RURAIS
CFA 016	INDÚSTRIAS RURAIS
CFA 017	INFORMÁTICA BÁSICA
CFA 017	INFORMÁTICA BÁSICA
CFA 017	INFORMÁTICA BÁSICA
CFA 020	SILVICULTURA I
CFA 020	SILVICULTURA I
CFA 021	AGRICULTURA - CULTURAS I
CFA 022	HORTICULTURA
CFA 023	DEFESA SANITÁRIA VEGETAL
CFA 030	EQUIDEOCULTURA E BOVINOCULTURA DE CORTE
CFA 030	EQUIDEOCULTURA E BOVINOCULTURA DE CORTE
CFA 030	EQUIDEOCULTURA E BOVINOCULTURA DE CORTE
CFA 031	DEFESA SANITÁRIA ANIMAL
CFA 032	INTRODUÇÃO À ZOOTECNIA
CFA 033	APICULTURA E PISCICULTURA
CFA 033	APICULTURA E PISCICULTURA
CFA 035	AVICULTURA E SUINOCULTURA
CFA 036	ALIMENTOS E ALIMENTAÇÃO ANIMAL
CFA 041	ADMINISTRAÇÃO RURAL
CFH 010	TEORIA GERAL DO TURISMO
CFH 011	SEGMENTOS DO TURISMO
CFH 012	TURISMO E MEIO AMBIENTE
CFH 013	PRIMEIROS SOCORROS
CFH 020	ADMINISTRAÇÃO APLICADA A HOTELARIA
CFH 030	MEIOS DE HOSPEDAGEM I
CFI 010	INTRODUÇÃO À INFORMÁTICA I
CFI 014	INTRODUÇÃO À INFORMÁTICA II
